Date,Open,High,Low,Close,Volume,Dividends,Ticker
2018-12-31,11.92538803803198,12.254231004592352,11.9060448224351,12.20587158203125,2790300,0.0,GME
2019-01-02,12.041450249121267,12.747495613620009,12.012434964173977,12.641104698181152,2124200,0.0,GME
2019-01-03,12.554058010507058,12.824870413211032,12.273574461004522,12.544386863708496,1750400,0.0,GME
2019-01-04,13.569602200336263,14.788255244076437,13.250431296839448,14.739895820617676,11915700,0.0,GME
2019-01-07,14.61416188659412,15.291191979431737,14.449740398034047,14.972020149230957,4718000,0.0,GME
2019-01-08,14.991364361668278,15.36856676476035,14.652849313582113,15.291192054748535,3443800,0.0,GME
2019-01-09,15.32020690513327,15.852157790755983,15.204144843413083,15.455612182617188,3554500,0.0,GME
2019-01-10,15.223487900991843,15.474956159962254,15.010707917905433,15.43626880645752,2904800,0.0,GME
2019-01-11,15.339549953654657,15.523314652113275,15.252504100098005,15.329878807067871,2419800,0.0,GME
2019-01-14,15.320206787580648,15.610361478465114,15.059066458929511,15.12677001953125,3610900,0.0,GME
2019-01-15,15.0880826268939,15.12676998040371,14.691536100444273,15.020379066467285,2228200,0.0,GME
2019-01-16,15.059066808841191,15.368566567291015,14.87530210551913,15.165457725524902,1992600,0.0,GME
2019-01-17,14.981691947566114,15.310534918738705,14.79792724611164,15.252504348754883,1743000,0.0,GME
2019-01-18,15.494300998974246,16.345422814589092,15.358894794391322,15.407254219055176,8547200,0.0,GME
2019-01-22,15.291192069646915,15.378237926710542,14.662521397214274,14.768912315368652,3188700,0.0,GME
2019-01-23,14.807599583050179,15.059066928160323,14.633506025191444,14.972020149230957,1837000,0.0,GME
2019-01-24,14.972020129340596,15.281519889831541,14.93333277457664,15.281519889831543,1282000,0.0,GME
2019-01-25,15.436269217295449,15.532987142441812,15.213816236938163,15.3782377243042,1915100,0.0,GME
2019-01-28,15.223488610918139,15.271848035649048,14.498100007092416,14.991364479064941,2984900,0.0,GME
2019-01-29,11.983420127917826,12.089810124960929,10.745422907008722,10.909844398498535,32870300,0.0,GME
2019-01-30,10.880828408357559,10.996890467361196,10.745422211663689,10.83246898651123,6151000,0.0,GME
2019-01-31,10.803453995342808,11.151640181796465,10.735751356349418,10.967875480651855,6049600,0.0,GME
2019-02-01,10.938860254239815,11.054922317012052,10.813126122308406,10.871156692504883,3477400,0.0,GME
2019-02-04,10.871156887541344,11.103281017250293,10.639032757832396,10.996891021728516,4271500,0.0,GME
2019-02-05,10.987218843413949,11.422452735275279,10.977547696556478,11.403108596801758,4271100,0.0,GME
2019-02-06,11.238687514168344,11.316062226091278,11.025906595190616,11.13229751586914,3479600,0.0,GME
2019-02-07,11.025906247294653,11.20967187409783,10.861484759051512,11.093609809875488,2021100,0.0,GME
2019-02-08,11.01623499995691,11.112952924737417,10.938860291180786,10.977547645568848,1801200,0.0,GME
2019-02-11,11.006562480267386,11.016234549063345,10.793781578652512,10.929187774658203,1918600,0.0,GME
2019-02-12,10.929188075900326,11.20967162205941,10.929188075900326,11.170984268188477,2678000,0.0,GME
2019-02-13,11.180656588637069,11.364421293060952,11.00656303111391,11.093609809875488,2132800,0.0,GME
