Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2018-12-31,38.65376070764338,38.85613686617195,38.15391633734913,38.46113967895508,140014000,0.0,0,AAPL
2019-01-02,37.766231042563064,38.73178420335676,37.60530489568217,38.50502395629883,148158800,0.0,0,AAPL
2019-01-03,35.10608674281798,35.53034556757577,34.62331202532922,34.669639587402344,365248800,0.0,0,AAPL
2019-01-04,35.24019156136518,36.220373681586175,35.0621995216867,36.149662017822266,234428400,0.0,0,AAPL
2019-01-07,36.256949609908006,36.28864820158192,35.57423561099308,36.0692024230957,219111200,0.0,0,AAPL
2019-01-08,36.46664024734248,37.01768975539185,36.21306267550414,36.75679397583008,164101200,0.0,0,AAPL
2019-01-09,36.88845541109916,37.67845345109018,36.48370684267923,37.380985260009766,180396400,0.0,0,AAPL
2019-01-10,37.18349063047867,37.54191539517904,36.783615863665666,37.500465393066406,143122800,0.0,0,AAPL
2019-01-11,37.27615017021058,37.4760857169995,36.94210575054435,37.13228988647461,108092800,0.0,0,AAPL
2019-01-14,36.78117491196375,36.88358144487487,36.38373711099383,36.57392120361328,129756800,0.0,0,AAPL
2019-01-15,36.6397576353047,37.40049405419647,36.5861155831529,37.322471618652344,114843600,0.0,0,AAPL
2019-01-16,37.32490653311442,38.00762047973847,37.30539999515469,37.77842330932617,122278800,0.0,0,AAPL
2019-01-17,37.59798670328138,38.44162670973941,37.368789556767126,38.00273895263672,119284800,0.0,0,AAPL
2019-01-18,38.402612561538206,38.495267674466085,38.03199583031788,38.236812591552734,135004000,0.0,0,AAPL
2019-01-22,38.13685488999919,38.21487733536404,37.21275155565116,37.37855529785156,121576000,0.0,0,AAPL
2019-01-23,37.58580309917493,37.827192349946834,36.98842971911468,37.52972412109375,92522400,0.0,0,AAPL
2019-01-24,37.576049808134975,37.66626429711779,36.998182997313016,37.23225402832031,101766000,0.0,0,AAPL
2019-01-25,37.91008397842742,38.55622542672066,37.62724850767698,38.466007232666016,134142000,0.0,0,AAPL
2019-01-28,37.98567359782304,38.117341799963356,37.46632643746787,38.11002731323242,104768400,0.0,0,AAPL
2019-01-29,38.09783954777832,38.55623394377467,37.57605168615163,37.715030670166016,166348800,0.0,0,AAPL
2019-01-30,39.80461459946164,40.511708868315246,39.0682586658994,40.292266845703125,244439200,0.0,0,AAPL
2019-01-31,40.50196489665362,41.20662237302953,40.1240335923292,40.582427978515625,162958400,0.0,0,AAPL
2019-02-01,40.70922045429552,41.20174665677556,40.45807606724886,40.60193634033203,130672400,0.0,0,AAPL
2019-02-04,40.81893465819014,41.85519574475848,40.787236069690735,41.755226135253906,125982000,0.0,0,AAPL
2019-02-05,42.147794013240905,42.6890884354841,42.0234439996686,42.469642639160156,144406400,0.0,0,AAPL
2019-02-06,42.58423407880999,42.8085574027805,42.14535000097708,42.48426818847656,112958400,0.0,0,AAPL
